word	code	lemm	text_fk	sentence_number	word_Id
красиве	АХ	красивий	5367	5	809014
,			5367	5	809015
засмагле	АХ	засмаглий	5367	5	809016
сонце	ЛВ	сонце	5367	5	809017
в	ПП	в	5367	5	809018
золотих	АЯ	золотий	5367	5	809019
переливах	ИЯ	переливи	5367	5	809020
кучерiв	ЙЕ	кучері	5367	5	809021
,			5367	5	809022
у	ПП	у	5367	5	809023
червонiй	АН	червоний	5367	5	809024
сорочцi	КП	сорочка	5367	5	809025
навипуск	Н0	навипуск	5367	5	809026
,			5367	5	809027
що	МС	що	5367	5	809028
їхало	ГР	їхати	5367	5	809029
на	ПП	на	5367	5	809030
велосипедi	ЙП	велосипед	5367	5	809031
,			5367	5	809032
обминаючи	Гм	обминати	5367	5	809033
хмари	КУ	хмара	5367	5	809034
у	ПП	у	5367	5	809035
небi	ЛП	небо	5367	5	809036
.			5367	5	809037
.			5367	5	809038
.			5367	5	809039
I	СС	і	5367	6	809040
застиг	ГЕ	застигнути	5367	6	809041
вiн	МИ	він	5367	6	809042
на	ПВ	на	5367	6	809043
роки	ЙУ	рік	5367	6	809044
i	СС	і	5367	6	809045
на	ПВ	на	5367	6	809046
столiття	ЛВ	століття	5367	6	809047
в	ПП	в	5367	6	809048
золотому	АШ	золотий	5367	6	809049
нiмому	АШ	німий	5367	6	809050
захопленнi	ЛП	захоплення	5367	6	809051
:			5367	6	809052
-		-	5367	6	809053
Дайте	ГШ	дати	5367	6	809054
покататися	ГП	покататися	5367	6	809055
,			5367	6	809056
дядьку	ЙК	дядько	5367	6	809057
!			5367	6	809058
А	СС	а	5367	7	809059
нi	Ь0	ні	5367	7	809060
,			5367	7	809061
то	СП	то	5367	7	809062
вiзьмiть	ГШ	узяти	5367	7	809063
хоч	Ь0	хоч	5367	7	809064
на	ПВ	на	5367	7	809065
раму	КВ	рама	5367	7	809066
.			5367	7	809067
Дядьку	ЙК	дядько	5367	8	809068
,			5367	8	809069
хiба	Ь0	хіба	5367	8	809070
вам	МО	ви	5367	8	809071
шкода	Ґ0	шкода	5367	8	809072
?			5367	8	809073
!			5367	8	809074
Поезiє	КК	поезія	5367	9	809075
,			5367	9	809076
сонце	ЛИ	сонце	5367	9	809077
моє	ОС	мій	5367	9	809078
оранжеве	АС	оранжевий	5367	9	809079
!			5367	9	809080
Щомитi	Н0	щомиті	5367	10	809081
якийсь	ОИ	якийсь	5367	10	809082
хлопчисько	ЙИ	хлопчисько	5367	10	809083
вiдкриває	ГЯ	відкривати	5367	10	809084
тебе	МВ	ти	5367	10	809085
для	ПР	для	5367	10	809086
себе	МР	себе	5367	10	809087
,			5367	10	809088
щоб	Ь0	щоб	5367	10	809089
стати	ГФ	стати	5367	10	809090
навiки	Н0	навіки	5367	10	809091
соняшником	ЙТ	соняшник	5367	10	809092
.			5367	10	809093
Балада	КИ	балада	5368	1	809094
про	ПВ	про	5368	1	809095
Сар`янів	йУ	Сар`ян	5368	1	809096
та	СС	та	5368	1	809097
Ван-Гогів	йУ	Ван-Гог	5368	1	809098
.			5368	1	809099
Хата	КИ	хата	5368	2	809100
у	ПП	у	5368	2	809101
серцi	ЛП	серце	5368	2	809102
свiтиться	ГП	світитися	5368	2	809103
мусить	ГЯ	мусити	5368	2	809104
,			5368	2	809105
погiдною	АМ	погідний	5368	2	809106
бути	ГФ	бути	5368	2	809107
при	ПП	при	5368	2	809108
всякiй	ОН	всякий	5368	2	809109
погодi	КП	погода	5368	2	809110
.			5368	2	809111
Стоять	ГЮ	стояти	5368	3	809112
Парфенони	йА	Парфенон	5368	3	809113
солом'яно-русi	АА	солом'яно-русий	5368	3	809114
,			5368	3	809115
синькою	КТ	синька	5368	3	809116
вмитi	АА	вмитий	5368	3	809117
,			5368	3	809118
джерельноводi	АА	джерельноводий	5368	3	809119
.			5368	3	809120
Мами	КА	мама	5368	4	809121
мої	ОА	мій	5368	4	809122
чистi	АА	чистий	5368	4	809123
в	ПП	в	5368	4	809124
мелодiях	КЯ	мелодія	5368	4	809125
кропу	ЙР	кріп	5368	4	809126
,			5368	4	809127
в	ПП	в	5368	4	809128
мелодiях	КЯ	мелодія	5368	4	809129
гички	КР	гичка	5368	4	809130
зеленоросої	АЗ	зеленоросий	5368	4	809131
,			5368	4	809132
призьба	КИ	призьба	5368	4	809133
тече	ГЯ	текти	5368	4	809134
у	ПВ	у	5368	4	809135
вогненну	АЛ	вогненний	5368	4	809136
шопу	КВ	шопа	5368	4	809137
з-пiд	ПР	з-під	5368	4	809138
вашого	ОР	ваш	5368	4	809139
пензля	ЙР	пензель	5368	4	809140
з	ПР	з	5368	4	809141
сипучого	АЧ	сипучий	5368	4	809142
проса	ЛР	просо	5368	4	809143
.			5368	4	809144
В	ПП	в	5368	5	809145
проваллях	ЛЯ	провалля	5368	5	809146
чекає	ГЯ	чекати	5368	5	809147
розсипчаста	АЖ	розсипчастий	5368	5	809148
глина	КИ	глина	5368	5	809149
рук	КЕ	рука	5368	5	809150
ваших	ОЕ	ваш	5368	5	809151
чорних	АЕ	чорний	5368	5	809152
,			5368	5	809153
звiтрiлих	АЕ	звітрілий	5368	5	809154
,			5368	5	809155
гречаних	АЕ	гречаний	5368	5	809156
.			5368	5	809157
I	СС	і	5368	6	809158
млiє	ГЯ	мліти	5368	6	809159
палiтра	КИ	палітра	5368	6	809160
на	ПП	на	5368	6	809161
згорблених	АЯ	згорблений	5368	6	809162
спинах	ЙЯ	спина	5368	6	809163
,			5368	6	809164
розведена	АЖ	розведений	5368	6	809165
потом	ЙТ	піт	5368	6	809166
в	ПП	в	5368	6	809167
мiшках	ЙЯ	мішок	5368	6	809168
десятчаних	АЯ	десятчаний	5368	6	809169
.			5368	6	809170
Пооранi	АА	поораний	5368	7	809171
вiком	ЙТ	вік	5368	7	809172
смаглявi	АА	смаглявий	5368	7	809173
лиця	ЛА	лице	5368	7	809174
:			5368	7	809175
Горпини	кА	Горпина	5368	7	809176
i	СС	і	5368	7	809177
Теклi	кА	Текля	5368	7	809178
,			5368	7	809179
Тетяни	кА	Тетяна	5368	7	809180
i	СС	і	5368	7	809181
Ганни	кА	Ганна	5368	7	809182
Сар'яни	йА	Сар'ян	5368	7	809183
в	ПП	в	5368	7	809184
хустках	КЯ	хустка	5368	7	809185
,			5368	7	809186
Ван-Гоги	йА	Ван-Гог	5368	7	809187
в	ПП	в	5368	7	809188
спiдницях	КЯ	спідниця	5368	7	809189
,			5368	7	809190
Кричевськi	йА	Кричевський	5368	7	809191
з	ПТ	з	5368	7	809192
порепаними	АЮ	порепаний	5368	7	809193
ногами	КЮ	нога	5368	7	809194
.			5368	7	809195
Снiпки	ЙА	сніпок	5368	8	809196
золотистi	АА	золотистий	5368	8	809197
загачують	ГЮ	загачувати	5368	8	809198
греблю	КВ	гребля	5368	8	809199
,			5368	8	809200
бо	СП	бо	5368	8	809201
хата	КИ	хата	5368	8	809202
блакитна	АЖ	блакитний	5368	8	809203
текла	ГЙ	текти	5368	8	809204
б	Ь0	б	5368	8	809205
в	ПВ	в	5368	8	809206
небеса	ЛУ	небо	5368	8	809207
.			5368	8	809208
.			5368	8	809209
.			5368	8	809210
Мамо	КК	мама	5368	9	809211
!			5368	9	809212
Я	МИ	я	5368	9	809213
вашi	ОУ	ваш	5368	9	809214
думи	КУ	дума	5368	9	809215
тереблю	ГR	теребити	5368	9	809216
,			5368	9	809217
і	СС	і	5368	9	809218
крапка	КИ	крапка	5368	9	809219
в	ПП	в	5368	9	809220
баладi	КП	балада	5368	9	809221
моїй	ОН	мій	5368	9	809222
-		-	5368	9	809223
сльоза	КИ	сльоза	5368	9	809224
.			5368	9	809225
.			5368	9	809226
.			5368	9	809227
Балада	КИ	балада	5369	1	809228
про	ПВ	про	5369	1	809229
випрані	АУ	випраний	5369	1	809230
штани	ИУ	штани	5369	1	809231
.			5369	1	809232
Нiч	КИ	ніч	5369	2	809233
розписала	ГЙ	розписати	5369	2	809234
небо	ЛВ	небо	5369	2	809235
в	ПВ	в	5369	2	809236
синю	АЛ	синій	5369	2	809237
домашню	АЛ	домашній	5369	2	809238
вазу	КВ	ваза	5369	2	809239
.			5369	2	809240
Захлинулася	ГИ	захлинутися	5369	3	809241
електричка	КИ	електричка	5369	3	809242
.			5369	3	809243
Комар	ЙИ	комар	5369	4	809244
в	ПП	в	5369	4	809245
споришi	ЙП	спориш	5369	4	809246
принишк	ГЕ	принишкнути	5369	4	809247
.			5369	4	809248
Замурзався	ГЭ	замурзатися	5369	5	809249
я	МИ	я	5369	5	809250
на	ПП	на	5369	5	809251
роботi	КП	робота	5369	5	809252
-		-	5369	5	809253
i	СС	і	5369	5	809254
мати	КИ	мати	5369	5	809255
примiтила	ГЙ	примітити	5369	5	809256
зразу	Н0	зразу	5369	5	809257
заплямленi	АУ	заплямлений	5369	5	809258
солiдолом	ЙТ	солідол	5369	5	809259
ще	Н0	ще	5369	5	809260
путнi	АУ	путній	5369	5	809261
сiрi	АУ	сірий	5369	5	809262
штани	ИУ	штани	5369	5	809263
.			5369	5	809264
Баняк	ЙИ	баняк	5369	6	809265
на	ПВ	на	5369	6	809266
плиту	КВ	плита	5369	6	809267
поставила	ГЙ	поставити	5369	6	809268
.			5369	6	809269
Дiстала	ГЙ	дістати	5369	7	809270
з	ПР	з	5369	7	809271
полицi	КР	полиця	5369	7	809272
мило	ЛВ	мило	5369	7	809273
.			5369	7	809274
А	СС	а	5369	8	809275
мiсяць	ЙИ	місяць	5369	8	809276
у	ПП	у	5369	8	809277
бiлих	АЯ	білий	5369	8	809278
споднях	ИЯ	сподні	5369	8	809279
з	ПТ	з	5369	8	809280
батьком	ЙТ	батько	5369	8	809281
у	ПВ	у	5369	8	809282
шахи	ЙУ	шахи	5369	8	809283
грав	ГЕ	грати	5369	8	809284
.			5369	8	809285
Далеко	Н0	далеко	5369	9	809286
овогнене	АС	овогнений	5369	9	809287
мiсто	ЛИ	місто	5369	9	809288
на	ПВ	на	5369	9	809289
сон	ЙВ	сон	5369	9	809290
голубий	АВ	голубий	5369	9	809291
мостилось	ГЛ	моститися	5369	9	809292
.			5369	9	809293
Смачною	АМ	смачний	5369	10	809294
була	ГЙ	бути	5369	10	809295
пiсля	ПР	після	5369	10	809296
пива	ЛР	пиво	5369	10	809297
густа	АЖ	густий	5369	10	809298
кабачкова	АЖ	кабачковий	5369	10	809299
iкра	КИ	ікра	5369	10	809300
.			5369	10	809301
Вiдгонили	ГН	відгонити	5369	11	809302
грушами	КЮ	груша	5369	11	809303
хмари	КА	хмара	5369	11	809304
.			5369	11	809305
У	ПП	у	5369	12	809306
вiтрi	ЙП	вітер	5369	12	809307
топилися	ГМ	топитися	5369	12	809308
шепоти	ЙА	шепіт	5369	12	809309
.			5369	12	809310
Сад	ЙИ	сад	5369	13	809311
колихався	ГЭ	колихатися	5369	13	809312
солодко	Н0	солодко	5369	13	809313
на	ПП	на	5369	13	809314
гойдалцi	КП	гойдалка	5369	13	809315
тишини	КР	тишина	5369	13	809316
.			5369	13	809317
А	СС	а	5369	14	809318
на	ПП	на	5369	14	809319
пружинистiй	АН	пружинистий	5369	14	809320
шворцi	КП	шворка	5369	14	809321
звiшенi	АА	звішений	5369	14	809322
за	ПВ	за	5369	14	809323
манжети	ЙУ	манжет	5369	14	809324
,			5369	14	809325
пришпиленi	АА	пришпилений	5369	14	809326
гострими	АЮ	гострий	5369	14	809327
зорями	КЮ	зоря	5369	14	809328
,			5369	14	809329
в	ПВ	в	5369	14	809330
небо	ЛВ	небо	5369	14	809331
iшли	ГН	іти	5369	14	809332
штани	ИА	штани	5369	14	809333
.			5369	14	809334
(			5369	15	809335
Повнi	АА	повний	5369	15	809336
образи	КР	образа	5369	15	809337
,			5369	15	809338
повнi	АУ	повний	5369	15	809339
огуди	КР	огуда	5369	15	809340
мої	ОУ	мій	5369	15	809341
пишногубi	АА	пишногубий	5369	15	809342
етюди	ЙА	етюд	5369	15	809343
.			5369	15	809344
"			5369	16	809345
Це	МС	це	5369	16	809346
вже	Н0	вже	5369	16	809347
занадто	Н0	занадто	5369	16	809348
,			5369	16	809349
це	МС	це	5369	16	809350
вже	Н0	вже	5369	16	809351
занадто	Н0	занадто	5369	16	809352
"			5369	16	809353
,			5369	16	809354
менi	МД	я	5369	16	809355
нашiптували	ГН	нашіптувати	5369	16	809356
сонати	КА	соната	5369	16	809357
,			5369	16	809358
і	СС	і	5369	16	809359
розсипались	ГМ	розсипатися	5369	16	809360
по	ПП	по	5369	16	809361
панелi	КП	панель	5369	16	809362
мої	ОУ	мій	5369	16	809363
рондо	ЛЩ	рондо	5369	16	809364
i	СС	і	5369	16	809365
ритурнелi	ЙА	ритурнель	5369	16	809366
я	МИ	я	5369	16	809367
обiйшовся	ГЭ	обійтися	5369	16	809368
без	ПР	без	5369	16	809369
них	МЕ	вони	5369	16	809370
,			5369	16	809371
оспiвуючи	Гм	оспівувати	5369	16	809372
штани	ИУ	штани	5369	16	809373
)			5369	16	809374
.			5369	16	809375
Лебединий	АИ	лебединий	5370	1	809376
етюд	ЙИ	етюд	5370	1	809377
.			5370	1	809378
Одягни	Г5	одягнути	5370	2	809379
мене	МВ	я	5370	2	809380
в	ПВ	в	5370	2	809381
нiч	КВ	ніч	5370	2	809382
,			5370	2	809383
одягни	Г5	одягнути	5370	2	809384
мене	МВ	я	5370	2	809385
в	ПВ	в	5370	2	809386
хмари	КУ	хмара	5370	2	809387
синi	АУ	синій	5370	2	809388
і	СС	і	5370	2	809389
дихни	Г5	дихнути	5370	2	809390
надi	ПТ	наді	5370	2	809391
мною	МТ	я	5370	2	809392
легким	АТ	легкий	5370	2	809393
лебединим	АЦ	лебединий	5370	2	809394
крилом	ЛТ	крило	5370	2	809395
,			5370	2	809396
хай	Ь0	хай	5370	2	809397
навiються	ГУ	навіятися	5370	2	809398
сни	ЙА	сон	5370	2	809399
,			5370	2	809400
теплi	АА	теплий	5370	2	809401
сни	ЙА	сон	5370	2	809402
лебединi	АА	лебединий	5370	2	809403
,			5370	2	809404
і	СС	і	5370	2	809405
сполоха	ГЯ	сполохати	5370	2	809406
їх	МУ	вони	5370	2	809407
мiсяць	ЙИ	місяць	5370	2	809408
тугим	АТ	тугий	5370	2	809409
ясеновим	АЦ	ясеновий	5370	2	809410
веслом	ЛТ	весло	5370	2	809411
.			5370	2	809412
Зацвiте	ГЯ	зацвісти	5370	3	809413
автострада	КИ	автострада	5370	3	809414
доспiлими	АЮ	доспілий	5370	3	809415
гронами	ЛЮ	гроно	5370	3	809416
,			5370	3	809417
змиє	ГЯ	змити	5370	3	809418
коси	КУ	коса	5370	3	809419
рожевi	АУ	рожевий	5370	3	809420
в	ПП	в	5370	3	809421
пахучiм	АП	пахучий	5370	3	809422
любистку	ЙП	любисток	5370	3	809423
зоря	КИ	зоря	5370	3	809424
.			5370	3	809425
З	ПР	з	5370	4	809426
твого	ОР	твій	5370	4	809427
чистого	АР	чистий	5370	4	809428
ставу	ЙР	став	5370	4	809429
мiж	ПТ	між	5370	4	809430
лататтям	ЛТ	латаття	5370	4	809431
та	СС	та	5370	4	809432
Орiонами	йЮ	Оріон	5370	4	809433
ти	МИ	ти	5370	4	809434
лебiдкою	КТ	лебідка	5370	4	809435
плинеш	ГW	плинути	5370	4	809436
у	ПВ	у	5370	4	809437
безкресi	АУ	безкресий	5370	4	809438
мої	ОУ	мій	5370	4	809439
моря	ЛУ	море	5370	4	809440
.			5370	4	809441
Одягни	Г5	одягнути	5370	5	809442
мене	МВ	я	5370	5	809443
в	ПВ	в	5370	5	809444
нiч	КВ	ніч	5370	5	809445
,			5370	5	809446
одягни	Г5	одягнути	5370	5	809447
мене	МВ	я	5370	5	809448
в	ПВ	в	5370	5	809449
хмари	КУ	хмара	5370	5	809450
синi	АУ	синій	5370	5	809451
і	СС	і	5370	5	809452
дихни	Г5	дихнути	5370	5	809453
надi	ПТ	наді	5370	5	809454
мною	МТ	я	5370	5	809455
легким	АЦ	легкий	5370	5	809456
лебединим	АЦ	лебединий	5370	5	809457
крилом	ЛТ	крило	5370	5	809458
.			5370	5	809459
Пахнуть	ГЮ	пахнути	5370	6	809460
роси	КА	роса	5370	6	809461
i	СС	і	5370	6	809462
руки	КА	рука	5370	6	809463
.			5370	6	809464
Пахнуть	ГЮ	пахнути	5370	7	809465
думи	КА	дума	5370	7	809466
твої	ОА	твій	5370	7	809467
дитиннi	АА	дитинний	5370	7	809468
.			5370	7	809469
В	ПП	в	5370	8	809470
серцi	ЛП	серце	5370	8	809471
плавають	ГЮ	плавати	5370	8	809472
лебедi	ЙА	лебідь	5370	8	809473
.			5370	8	809474
Сонно	Н0	сонно	5370	9	809475
пахне	ГЯ	пахнути	5370	9	809476
весло	ЛИ	весло	5370	9	809477
.			5370	9	809478
Нічний	АИ	нічний	5371	1	809479
етюд	ЙИ	етюд	5371	1	809480
.			5371	1	809481
Не	Ь0	не	5371	2	809482
кров	КИ	кров	5371	2	809483
з	ПТ	з	5371	2	809484
молоком	ЛТ	молоко	5371	2	809485
,			5371	2	809486
а	СС	а	5371	2	809487
кров	КИ	кров	5371	2	809488
iз	ПТ	із	5371	2	809489
нiччю	КТ	ніч	5371	2	809490
про	ПВ	про	5371	2	809491
тебе	МВ	ти	5371	2	809492
задумуватись	ГП	задумуватися	5371	2	809493
весняною	АМ	весняний	5371	2	809494
порою	КТ	пора	5371	2	809495
і	СС	і	5371	2	809496
сльози	КУ	сльоза	5371	2	809497
збирати	ГФ	збирати	5371	2	809498
по	ПП	по	5371	2	809499
твоєму	ОШ	твій	5371	2	809500
обличчю	ЛП	обличчя	5371	2	809501
тугою	АМ	тугий	5371	2	809502
всезнаючою	АМ	всезнаючий	5371	2	809503
рукою	КТ	рука	5371	2	809504
.			5371	2	809505
Ти	МИ	ти	5371	3	809506
-		-	5371	3	809507
спеки	КР	спека	5371	3	809508
настiй	ЙИ	настій	5371	3	809509
.			5371	3	809510
Ти	МИ	ти	5371	4	809511
-		-	5371	4	809512
пустеля	КИ	пустеля	5371	4	809513
палюча	АЖ	палючий	5371	4	809514
.			5371	4	809515
В	ПП	в	5371	5	809516
тобi	МП	ти	5371	5	809517
заблукати	ГФ	заблукати	5371	5	809518
,			5371	5	809519
а	СС	а	5371	5	809520
потiм	Н0	потім	5371	5	809521
не	Ь0	не	5371	5	809522
вийти	ГФ	вийти	5371	5	809523
.			5371	5	809524
Ти	МИ	ти	5371	6	809525
-		-	5371	6	809526
пристрастi	КР	пристрасть	5371	6	809527
дикої	АЗ	дикий	5371	6	809528
горда	АЖ	гордий	5371	6	809529
круча	КИ	круча	5371	6	809530
,			5371	6	809531
з	ПР	з	5371	6	809532
якої	ОЗ	який	5371	6	809533
кидатись	ГП	кидатися	5371	6	809534
несамовитим	АТ	несамовитий	5371	6	809535
.			5371	6	809536
Руки	КА	рука	5371	7	809537
обплетенi	АА	обплетений	5371	7	809538
,			5371	7	809539
вуста	ИА	вуста	5371	7	809540
обпаленi	АА	обпалений	5371	7	809541
глибинними	АЮ	глибинний	5371	7	809542
незагнузданими	АЮ	незагнузданий	5371	7	809543
пожежами	КЮ	пожежа	5371	7	809544
,			5371	7	809545
і	СС	і	5371	7	809546
зеленокоса	АЖ	зеленокосий	5371	7	809547
нiжнiсть	КИ	ніжність	5371	7	809548
пальми	Кр	пальма	5371	7	809549
тебе	МВ	ти	5371	7	809550
не	Ь0	не	5371	7	809551
схолодить	ГЯ	схолодити	5371	7	809552
своїми	ОЮ	свій	5371	7	809553
одежами	КЮ	одежа	5371	7	809554
.			5371	7	809555
Зорi	КА	зоря	5371	8	809556
б	Ь0	б	5371	8	809557
тобi	МД	ти	5371	8	809558
пiдiйшли	ГН	підійти	5371	8	809559
за	ПВ	за	5371	8	809560
намисто	ЛВ	намисто	5371	8	809561
,			5371	8	809562
та	СС	та	5371	8	809563
од	ПР	од	5371	8	809564
захоплення	ЛИ	захоплення	5371	8	809565
повмирають	ГЮ	повмирати	5371	8	809566
.			5371	8	809567
.			5371	8	809568
.			5371	8	809569
I	СС	і	5371	9	809570
як	Ь0	як	5371	9	809571
ти	МИ	ти	5371	9	809572
землi	КР	земля	5371	9	809573
не	Ь0	не	5371	9	809574
пiдпалиш	ГW	підпалити	5371	9	809575
,			5371	9	809576
вогниста	АЖ	вогнистий	5371	9	809577
,			5371	9	809578
мiй	ОИ	мій	5371	9	809579
буйний	АИ	буйний	5371	9	809580
,			5371	9	809581
мiй	ОИ	мій	5371	9	809582
карий	АИ	карий	5371	9	809583
,			5371	9	809584
мiй	ОИ	мій	5371	9	809585
чорний	АИ	чорний	5371	9	809586
раю	ЙК	рай	5371	9	809587
!			5371	9	809588
Сльоза	КИ	сльоза	5372	1	809589
Пікассо	йЩ	Пікассо	5372	1	809590
.			5372	1	809591
Лiто	ЛИ	літо	5372	2	809592
пилося	ГЛ	питися	5372	2	809593
,			5372	2	809594
лiто	ЛИ	літо	5372	2	809595
їлося	ГЛ	їстися	5372	2	809596
,			5372	2	809597
лiто	ЛИ	літо	5372	2	809598
кипiло	ГР	кипіти	5372	2	809599
вишнево	Н0	вишнево	5372	2	809600
,			5372	2	809601
лутово	Н0	лутово	5372	2	809602
,			5372	2	809603
густо	Н0	густо	5372	2	809604
смiялося	ГЛ	сміятися	5372	2	809605
,			5372	2	809606
половiло	ГР	половіти	5372	2	809607
,			5372	2	809608
переморгувалось	ГЛ	переморгуватися	5372	2	809609
зеленоброво	Н0	зеленоброво	5372	2	809610
.			5372	2	809611
А	СС	а	5372	3	809612
ми	МА	ми	5372	3	809613
-		-	5372	3	809614
за	ПВ	за	5372	3	809615
руки	КУ	рука	5372	3	809616
,			5372	3	809617
аж	Ь0	аж	5372	3	809618
пальцiв	ЙЕ	палець	5372	3	809619
хрускiт	ЙИ	хрускіт	5372	3	809620
,			5372	3	809621
аж	Ь0	аж	5372	3	809622
регiт	ЙИ	регіт	5372	3	809623
звивався	ГЭ	звиватися	5372	3	809624
пiд	ПВ	під	5372	3	809625
пахви	КУ	пахва	5372	3	809626
осик	КЕ	осика	5372	3	809627
.			5372	3	809628
За	ПТ	За	5372	4	809629
хвилями	КЮ	хвиля	5372	4	809630
книг	КЕ	книга	5372	4	809631
,			5372	4	809632
в	ПП	в	5372	4	809633
сторiнковiм	АП	сторінковий	5372	4	809634
плюскотi	ЙП	плюскіт	5372	4	809635
Вiдкрили	ГН	відкрити	5372	4	809636
шалений	АВ	шалений	5372	4	809637
його	ЪS	його	5372	4	809638
материк	ЙВ	материк	5372	4	809639
.			5372	4	809640
I	СС	і	5372	5	809641
раптом	Н0	раптом	5372	5	809642
у	ПП	у	5372	5	809643
гаморi	ЙП	гамір	5372	5	809644
магазиннiм	АП	магазинний	5372	5	809645
все	МС	все	5372	5	809646
спалахнуло	ГР	спалахнути	5372	5	809647
,			5372	5	809648
аж	Ь0	аж	5372	5	809649
день	ЙИ	день	5372	5	809650
злякався	ГЭ	злякатися	5372	5	809651
!			5372	5	809652
Все	МС	все	5372	6	809653
стало	ГР	стати	5372	6	809654
синiм	АЦ	синій	5372	6	809655
,			5372	6	809656
мiсячно-синiм	АЦ	місячно-синій	5372	6	809657
Засвiтилась	ГИ	засвітитися	5372	6	809658
сльоза	КИ	сльоза	5372	6	809659
Пiкассо	йЩ	Пікассо	5372	6	809660
.			5372	6	809661
I	СС	і	5372	7	809662
зайнялися	ГМ	зайнятися	5372	7	809663
в	ПР	в	5372	7	809664
дiвчини	КР	дівчина	5372	7	809665
зорi	КА	зоря	5372	7	809666
,			5372	7	809667
і	СС	і	5372	7	809668
прикипiли	ГН	прикипіти	5372	7	809669
карi	АА	карий	5372	7	809670
:			5372	7	809671
"			5372	7	809672
Та	МЖОЖСС	та	5372	7	809673
ну	Ь0	ну	5372	7	809674
?			5372	7	809675
!			5372	7	809676
"			5372	7	809677
тонуть	ГЮ	тонути	5372	7	809678
у	ПП	у	5372	7	809679
морi	ЛП	море	5372	7	809680
,			5372	7	809681
тонуть	ГЮ	тонути	5372	7	809682
i	СС	і	5372	7	809683
в	ПП	в	5372	7	809684
горi	ЛП	горе	5372	7	809685
і	СС	і	5372	7	809686
ми	МА	ми	5372	7	809687
в	ПП	в	5372	7	809688
сльозi	КП	сльоза	5372	7	809689
потонули	ГН	потонути	5372	7	809690
.			5372	7	809691
Дiти	ИА	Діти	5372	8	809692
плачуть	ГЮ	плакати	5372	8	809693
,			5372	8	809694
i	СС	і	5372	8	809695
плачуть	ГЮ	плакати	5372	8	809696
дерева	ЛА	дерево	5372	8	809697
.			5372	8	809698
У	ПР	у	5372	9	809699
мами	КР	мама	5372	9	809700
не	Ь0	не	5372	9	809701
очi	ЛА	око	5372	9	809702
,			5372	9	809703
а	СС	а	5372	9	809704
двi	ЧА	дві	5372	9	809705
сльози	КА	сльоза	5372	9	809706
.			5372	9	809707
Синхрофазотрони	ЙА	синхрофазотрон	5372	10	809708
ридають	ГЮ	ридати	5372	10	809709
,			5372	10	809710
як	СП	як	5372	10	809711
леви	ЙА	лев	5372	10	809712
,			5372	10	809713
і	СС	і	5372	10	809714
фiолетовий	АИ	фіолетовий	5372	10	809715
плач	ЙИ	плач	5372	10	809716
у	ПР	у	5372	10	809717
грози	КР	Гроза	5372	10	809718
.			5372	10	809719
Переданi	АА	переданий	5372	11	809720
сльози	КА	сльоза	5372	11	809721
оркестрам	ЙО	оркестр	5372	11	809722
i	СС	і	5372	11	809723
