,word,code,lemm,text_fk,sentence_number,word_Id
131,оранжеве,АС,оранжевий,5367,9,809079
132,!,,,5367,9,809080
133,Щомитi,Н0,щомиті,5367,10,809081
134,якийсь,ОИ,якийсь,5367,10,809082
135,хлопчисько,ЙИ,хлопчисько,5367,10,809083
136,вiдкриває,ГЯ,відкривати,5367,10,809084
137,тебе,МВ,ти,5367,10,809085
138,для,ПР,для,5367,10,809086
139,себе,МР,себе,5367,10,809087
140,",",,,5367,10,809088
141,щоб,Ь0,щоб,5367,10,809089
142,стати,ГФ,стати,5367,10,809090
143,навiки,Н0,навіки,5367,10,809091
144,соняшником,ЙТ,соняшник,5367,10,809092
145,.,,,5367,10,809093
146,Балада,КИ,балада,5368,1,809094
147,про,ПВ,про,5368,1,809095
148,Сар`янів,йУ,Сар`ян,5368,1,809096
149,та,СС,та,5368,1,809097
150,Ван-Гогів,йУ,Ван-Гог,5368,1,809098
151,.,,,5368,1,809099
152,Хата,КИ,хата,5368,2,809100
153,у,ПП,у,5368,2,809101
154,серцi,ЛП,серце,5368,2,809102
155,свiтиться,ГП,світитися,5368,2,809103
156,мусить,ГЯ,мусити,5368,2,809104
157,",",,,5368,2,809105
158,погiдною,АМ,погідний,5368,2,809106
159,бути,ГФ,бути,5368,2,809107
160,при,ПП,при,5368,2,809108
161,всякiй,ОН,всякий,5368,2,809109
162,погодi,КП,погода,5368,2,809110
163,.,,,5368,2,809111
164,Стоять,ГЮ,стояти,5368,3,809112
165,Парфенони,йА,Парфенон,5368,3,809113
166,солом'яно-русi,АА,солом'яно-русий,5368,3,809114
167,",",,,5368,3,809115
168,синькою,КТ,синька,5368,3,809116
169,вмитi,АА,вмитий,5368,3,809117
170,",",,,5368,3,809118
171,джерельноводi,АА,джерельноводий,5368,3,809119
172,.,,,5368,3,809120
173,Мами,КА,мама,5368,4,809121
174,мої,ОА,мій,5368,4,809122
175,чистi,АА,чистий,5368,4,809123
176,в,ПП,в,5368,4,809124
177,мелодiях,КЯ,мелодія,5368,4,809125
178,кропу,ЙР,кріп,5368,4,809126
179,",",,,5368,4,809127
180,в,ПП,в,5368,4,809128
181,мелодiях,КЯ,мелодія,5368,4,809129
182,гички,КР,гичка,5368,4,809130
183,зеленоросої,АЗ,зеленоросий,5368,4,809131
184,",",,,5368,4,809132
185,призьба,КИ,призьба,5368,4,809133
186,тече,ГЯ,текти,5368,4,809134
187,у,ПВ,у,5368,4,809135
188,вогненну,АЛ,вогненний,5368,4,809136
189,шопу,КВ,шопа,5368,4,809137
190,з-пiд,ПР,з-під,5368,4,809138
191,вашого,ОР,ваш,5368,4,809139
192,пензля,ЙР,пензель,5368,4,809140
193,з,ПР,з,5368,4,809141
194,сипучого,АЧ,сипучий,5368,4,809142
195,проса,ЛР,просо,5368,4,809143
196,.,,,5368,4,809144
197,В,ПП,в,5368,5,809145
198,проваллях,ЛЯ,провалля,5368,5,809146
199,чекає,ГЯ,чекати,5368,5,809147
200,розсипчаста,АЖ,розсипчастий,5368,5,809148
201,глина,КИ,глина,5368,5,809149
202,рук,КЕ,рука,5368,5,809150
203,ваших,ОЕ,ваш,5368,5,809151
204,чорних,АЕ,чорний,5368,5,809152
205,",",,,5368,5,809153
206,звiтрiлих,АЕ,звітрілий,5368,5,809154
207,",",,,5368,5,809155
208,гречаних,АЕ,гречаний,5368,5,809156
209,.,,,5368,5,809157
210,I,СС,і,5368,6,809158
211,млiє,ГЯ,мліти,5368,6,809159
212,палiтра,КИ,палітра,5368,6,809160
213,на,ПП,на,5368,6,809161
214,згорблених,АЯ,згорблений,5368,6,809162
215,спинах,ЙЯ,спина,5368,6,809163
216,",",,,5368,6,809164
217,розведена,АЖ,розведений,5368,6,809165
218,потом,ЙТ,піт,5368,6,809166
219,в,ПП,в,5368,6,809167
220,мiшках,ЙЯ,мішок,5368,6,809168
221,десятчаних,АЯ,десятчаний,5368,6,809169
222,.,,,5368,6,809170
223,Пооранi,АА,поораний,5368,7,809171
224,вiком,ЙТ,вік,5368,7,809172
225,смаглявi,АА,смаглявий,5368,7,809173
226,лиця,ЛА,лице,5368,7,809174
227,:,,,5368,7,809175
228,Горпини,кА,Горпина,5368,7,809176
229,i,СС,і,5368,7,809177
230,Теклi,кА,Текля,5368,7,809178
231,",",,,5368,7,809179
232,Тетяни,кА,Тетяна,5368,7,809180
233,i,СС,і,5368,7,809181
234,Ганни,кА,Ганна,5368,7,809182
235,Сар'яни,йА,Сар'ян,5368,7,809183
236,в,ПП,в,5368,7,809184
237,хустках,КЯ,хустка,5368,7,809185
238,",",,,5368,7,809186
239,Ван-Гоги,йА,Ван-Гог,5368,7,809187
240,в,ПП,в,5368,7,809188
241,спiдницях,КЯ,спідниця,5368,7,809189
242,",",,,5368,7,809190
243,Кричевськi,йА,Кричевський,5368,7,809191
244,з,ПТ,з,5368,7,809192
245,порепаними,АЮ,порепаний,5368,7,809193
246,ногами,КЮ,нога,5368,7,809194
247,.,,,5368,7,809195
248,Снiпки,ЙА,сніпок,5368,8,809196
249,золотистi,АА,золотистий,5368,8,809197
250,загачують,ГЮ,загачувати,5368,8,809198
251,греблю,КВ,гребля,5368,8,809199
252,",",,,5368,8,809200
253,бо,СП,бо,5368,8,809201
254,хата,КИ,хата,5368,8,809202
255,блакитна,АЖ,блакитний,5368,8,809203
256,текла,ГЙ,текти,5368,8,809204
257,б,Ь0,б,5368,8,809205
258,в,ПВ,в,5368,8,809206
259,небеса,ЛУ,небо,5368,8,809207
260,.,,,5368,8,809208
261,.,,,5368,8,809209
262,.,,,5368,8,809210
263,Мамо,КК,мама,5368,9,809211
264,!,,,5368,9,809212
265,Я,МИ,я,5368,9,809213
266,вашi,ОУ,ваш,5368,9,809214
267,думи,КУ,дума,5368,9,809215
268,тереблю,ГR,теребити,5368,9,809216
269,",",,,5368,9,809217
270,і,СС,і,5368,9,809218
271,крапка,КИ,крапка,5368,9,809219
272,в,ПП,в,5368,9,809220
273,баладi,КП,балада,5368,9,809221
274,моїй,ОН,мій,5368,9,809222
275,-,,-,5368,9,809223
276,сльоза,КИ,сльоза,5368,9,809224
277,.,,,5368,9,809225
278,.,,,5368,9,809226
279,.,,,5368,9,809227
280,Балада,КИ,балада,5369,1,809228
281,про,ПВ,про,5369,1,809229
282,випрані,АУ,випраний,5369,1,809230
283,штани,ИУ,штани,5369,1,809231
284,.,,,5369,1,809232
285,Нiч,КИ,ніч,5369,2,809233
286,розписала,ГЙ,розписати,5369,2,809234
287,небо,ЛВ,небо,5369,2,809235
288,в,ПВ,в,5369,2,809236
289,синю,АЛ,синій,5369,2,809237
290,домашню,АЛ,домашній,5369,2,809238
291,вазу,КВ,ваза,5369,2,809239
292,.,,,5369,2,809240
293,Захлинулася,ГИ,захлинутися,5369,3,809241
294,електричка,КИ,електричка,5369,3,809242
295,.,,,5369,3,809243
296,Комар,ЙИ,комар,5369,4,809244
297,в,ПП,в,5369,4,809245
298,споришi,ЙП,спориш,5369,4,809246
299,принишк,ГЕ,принишкнути,5369,4,809247
300,.,,,5369,4,809248
301,Замурзався,ГЭ,замурзатися,5369,5,809249
302,я,МИ,я,5369,5,809250
303,на,ПП,на,5369,5,809251
304,роботi,КП,робота,5369,5,809252
305,-,,-,5369,5,809253
306,i,СС,і,5369,5,809254
307,мати,КИ,мати,5369,5,809255
308,примiтила,ГЙ,примітити,5369,5,809256
309,зразу,Н0,зразу,5369,5,809257
310,заплямленi,АУ,заплямлений,5369,5,809258
311,солiдолом,ЙТ,солідол,5369,5,809259
312,ще,Н0,ще,5369,5,809260
313,путнi,АУ,путній,5369,5,809261
314,сiрi,АУ,сірий,5369,5,809262
315,штани,ИУ,штани,5369,5,809263
316,.,,,5369,5,809264
317,Баняк,ЙИ,баняк,5369,6,809265
318,на,ПВ,на,5369,6,809266
319,плиту,КВ,плита,5369,6,809267
320,поставила,ГЙ,поставити,5369,6,809268
321,.,,,5369,6,809269
322,Дiстала,ГЙ,дістати,5369,7,809270
323,з,ПР,з,5369,7,809271
324,полицi,КР,полиця,5369,7,809272
325,мило,ЛВ,мило,5369,7,809273
326,.,,,5369,7,809274
327,А,СС,а,5369,8,809275
328,мiсяць,ЙИ,місяць,5369,8,809276
329,у,ПП,у,5369,8,809277
330,бiлих,АЯ,білий,5369,8,809278
331,споднях,ИЯ,сподні,5369,8,809279
332,з,ПТ,з,5369,8,809280
333,батьком,ЙТ,батько,5369,8,809281
334,у,ПВ,у,5369,8,809282
335,шахи,ЙУ,шахи,5369,8,809283
336,грав,ГЕ,грати,5369,8,809284
337,.,,,5369,8,809285
338,Далеко,Н0,далеко,5369,9,809286
339,овогнене,АС,овогнений,5369,9,809287
340,мiсто,ЛИ,місто,5369,9,809288
341,на,ПВ,на,5369,9,809289
342,сон,ЙВ,сон,5369,9,809290
343,голубий,АВ,голубий,5369,9,809291
344,мостилось,ГЛ,моститися,5369,9,809292
345,.,,,5369,9,809293
346,Смачною,АМ,смачний,5369,10,809294
347,була,ГЙ,бути,5369,10,809295
348,пiсля,ПР,після,5369,10,809296
349,пива,ЛР,пиво,5369,10,809297
350,густа,АЖ,густий,5369,10,809298
351,кабачкова,АЖ,кабачковий,5369,10,809299
352,iкра,КИ,ікра,5369,10,809300
353,.,,,5369,10,809301
354,Вiдгонили,ГН,відгонити,5369,11,809302
355,грушами,КЮ,груша,5369,11,809303
356,хмари,КА,хмара,5369,11,809304
357,.,,,5369,11,809305
358,У,ПП,у,5369,12,809306
359,вiтрi,ЙП,вітер,5369,12,809307
360,топилися,ГМ,топитися,5369,12,809308
361,шепоти,ЙА,шепіт,5369,12,809309
362,.,,,5369,12,809310
363,Сад,ЙИ,сад,5369,13,809311
364,колихався,ГЭ,колихатися,5369,13,809312
365,солодко,Н0,солодко,5369,13,809313
366,на,ПП,на,5369,13,809314
367,гойдалцi,КП,гойдалка,5369,13,809315
368,тишини,КР,тишина,5369,13,809316
369,.,,,5369,13,809317
370,А,СС,а,5369,14,809318
371,на,ПП,на,5369,14,809319
372,пружинистiй,АН,пружинистий,5369,14,809320
373,шворцi,КП,шворка,5369,14,809321
374,звiшенi,АА,звішений,5369,14,809322
375,за,ПВ,за,5369,14,809323
376,манжети,ЙУ,манжет,5369,14,809324
377,",",,,5369,14,809325
378,пришпиленi,АА,пришпилений,5369,14,809326
379,гострими,АЮ,гострий,5369,14,809327
380,зорями,КЮ,зоря,5369,14,809328
381,",",,,5369,14,809329
382,в,ПВ,в,5369,14,809330
383,небо,ЛВ,небо,5369,14,809331
384,iшли,ГН,іти,5369,14,809332
385,штани,ИА,штани,5369,14,809333
386,.,,,5369,14,809334
387,(,,,5369,15,809335
388,Повнi,АА,повний,5369,15,809336
389,образи,КР,образа,5369,15,809337
390,",",,,5369,15,809338
391,повнi,АУ,повний,5369,15,809339
392,огуди,КР,огуда,5369,15,809340
393,мої,ОУ,мій,5369,15,809341
394,пишногубi,АА,пишногубий,5369,15,809342
395,етюди,ЙА,етюд,5369,15,809343
396,.,,,5369,15,809344
397,"""",,,5369,16,809345
398,Це,МС,це,5369,16,809346
399,вже,Н0,вже,5369,16,809347
400,занадто,Н0,занадто,5369,16,809348
401,",",,,5369,16,809349
402,це,МС,це,5369,16,809350
403,вже,Н0,вже,5369,16,809351
404,занадто,Н0,занадто,5369,16,809352
405,"""",,,5369,16,809353
406,",",,,5369,16,809354
407,менi,МД,я,5369,16,809355
408,нашiптували,ГН,нашіптувати,5369,16,809356
409,сонати,КА,соната,5369,16,809357
410,",",,,5369,16,809358
411,і,СС,і,5369,16,809359
412,розсипались,ГМ,розсипатися,5369,16,809360
413,по,ПП,по,5369,16,809361
414,панелi,КП,панель,5369,16,809362
415,мої,ОУ,мій,5369,16,809363
416,рондо,ЛЩ,рондо,5369,16,809364
417,i,СС,і,5369,16,809365
418,ритурнелi,ЙА,ритурнель,5369,16,809366
419,я,МИ,я,5369,16,809367
420,обiйшовся,ГЭ,обійтися,5369,16,809368
421,без,ПР,без,5369,16,809369
422,них,МЕ,вони,5369,16,809370
423,",",,,5369,16,809371
424,оспiвуючи,Гм,оспівувати,5369,16,809372
425,штани,ИУ,штани,5369,16,809373
426,),,,5369,16,809374
427,.,,,5369,16,809375
428,Лебединий,АИ,лебединий,5370,1,809376
429,етюд,ЙИ,етюд,5370,1,809377
430,.,,,5370,1,809378
431,Одягни,Г5,одягнути,5370,2,809379
432,мене,МВ,я,5370,2,809380
433,в,ПВ,в,5370,2,809381
434,нiч,КВ,ніч,5370,2,809382
435,",",,,5370,2,809383
436,одягни,Г5,одягнути,5370,2,809384
437,мене,МВ,я,5370,2,809385
438,в,ПВ,в,5370,2,809386
439,хмари,КУ,хмара,5370,2,809387
440,синi,АУ,синій,5370,2,809388
441,і,СС,і,5370,2,809389
442,дихни,Г5,дихнути,5370,2,809390
443,надi,ПТ,наді,5370,2,809391
444,мною,МТ,я,5370,2,809392
445,легким,АТ,легкий,5370,2,809393
446,лебединим,АЦ,лебединий,5370,2,809394
447,крилом,ЛТ,крило,5370,2,809395
448,",",,,5370,2,809396
449,хай,Ь0,хай,5370,2,809397
450,навiються,ГУ,навіятися,5370,2,809398
451,сни,ЙА,сон,5370,2,809399
452,",",,,5370,2,809400
453,теплi,АА,теплий,5370,2,809401
454,сни,ЙА,сон,5370,2,809402
455,лебединi,АА,лебединий,5370,2,809403
456,",",,,5370,2,809404
457,і,СС,і,5370,2,809405
458,сполоха,ГЯ,сполохати,5370,2,809406
459,їх,МУ,вони,5370,2,809407
460,мiсяць,ЙИ,місяць,5370,2,809408
461,тугим,АТ,тугий,5370,2,809409
462,ясеновим,АЦ,ясеновий,5370,2,809410
463,веслом,ЛТ,весло,5370,2,809411
464,.,,,5370,2,809412
465,Зацвiте,ГЯ,зацвісти,5370,3,809413
466,автострада,КИ,автострада,5370,3,809414
467,доспiлими,АЮ,доспілий,5370,3,809415
468,гронами,ЛЮ,гроно,5370,3,809416
469,",",,,5370,3,809417
470,змиє,ГЯ,змити,5370,3,809418
471,коси,КУ,коса,5370,3,809419
472,рожевi,АУ,рожевий,5370,3,809420
473,в,ПП,в,5370,3,809421
474,пахучiм,АП,пахучий,5370,3,809422
475,любистку,ЙП,любисток,5370,3,809423
476,зоря,КИ,зоря,5370,3,809424
477,.,,,5370,3,809425
478,З,ПР,з,5370,4,809426
479,твого,ОР,твій,5370,4,809427
480,чистого,АР,чистий,5370,4,809428
481,ставу,ЙР,став,5370,4,809429
482,мiж,ПТ,між,5370,4,809430
483,лататтям,ЛТ,латаття,5370,4,809431
484,та,СС,та,5370,4,809432
485,Орiонами,йЮ,Оріон,5370,4,809433
486,ти,МИ,ти,5370,4,809434
487,лебiдкою,КТ,лебідка,5370,4,809435
488,плинеш,ГW,плинути,5370,4,809436
489,у,ПВ,у,5370,4,809437
490,безкресi,АУ,безкресий,5370,4,809438
491,мої,ОУ,мій,5370,4,809439
492,моря,ЛУ,море,5370,4,809440
493,.,,,5370,4,809441
494,Одягни,Г5,одягнути,5370,5,809442
495,мене,МВ,я,5370,5,809443
496,в,ПВ,в,5370,5,809444
497,нiч,КВ,ніч,5370,5,809445
498,",",,,5370,5,809446
499,одягни,Г5,одягнути,5370,5,809447
500,мене,МВ,я,5370,5,809448
501,в,ПВ,в,5370,5,809449
502,хмари,КУ,хмара,5370,5,809450
503,синi,АУ,синій,5370,5,809451
504,і,СС,і,5370,5,809452
505,дихни,Г5,дихнути,5370,5,809453
506,надi,ПТ,наді,5370,5,809454
507,мною,МТ,я,5370,5,809455
508,легким,АЦ,легкий,5370,5,809456
509,лебединим,АЦ,лебединий,5370,5,809457
510,крилом,ЛТ,крило,5370,5,809458
511,.,,,5370,5,809459
512,Пахнуть,ГЮ,пахнути,5370,6,809460
513,роси,КА,роса,5370,6,809461
514,i,СС,і,5370,6,809462
515,руки,КА,рука,5370,6,809463
516,.,,,5370,6,809464
517,Пахнуть,ГЮ,пахнути,5370,7,809465
518,думи,КА,дума,5370,7,809466
519,твої,ОА,твій,5370,7,809467
520,дитиннi,АА,дитинний,5370,7,809468
521,.,,,5370,7,809469
522,В,ПП,в,5370,8,809470
523,серцi,ЛП,серце,5370,8,809471
524,плавають,ГЮ,плавати,5370,8,809472
525,лебедi,ЙА,лебідь,5370,8,809473
526,.,,,5370,8,809474
527,Сонно,Н0,сонно,5370,9,809475
528,пахне,ГЯ,пахнути,5370,9,809476
529,весло,ЛИ,весло,5370,9,809477
530,.,,,5370,9,809478
531,Нічний,АИ,нічний,5371,1,809479
532,етюд,ЙИ,етюд,5371,1,809480
533,.,,,5371,1,809481
534,Не,Ь0,не,5371,2,809482
535,кров,КИ,кров,5371,2,809483
536,з,ПТ,з,5371,2,809484
537,молоком,ЛТ,молоко,5371,2,809485
538,",",,,5371,2,809486
539,а,СС,а,5371,2,809487
540,кров,КИ,кров,5371,2,809488
541,iз,ПТ,із,5371,2,809489
542,нiччю,КТ,ніч,5371,2,809490
543,про,ПВ,про,5371,2,809491
544,тебе,МВ,ти,5371,2,809492
545,задумуватись,ГП,задумуватися,5371,2,809493
546,весняною,АМ,весняний,5371,2,809494
547,порою,КТ,пора,5371,2,809495
548,і,СС,і,5371,2,809496
549,сльози,КУ,сльоза,5371,2,809497
550,збирати,ГФ,збирати,5371,2,809498
551,по,ПП,по,5371,2,809499
552,твоєму,ОШ,твій,5371,2,809500
553,обличчю,ЛП,обличчя,5371,2,809501
554,тугою,АМ,тугий,5371,2,809502
555,всезнаючою,АМ,всезнаючий,5371,2,809503
556,рукою,КТ,рука,5371,2,809504
557,.,,,5371,2,809505
558,Ти,МИ,ти,5371,3,809506
559,-,,-,5371,3,809507
560,спеки,КР,спека,5371,3,809508
561,настiй,ЙИ,настій,5371,3,809509
562,.,,,5371,3,809510
563,Ти,МИ,ти,5371,4,809511
564,-,,-,5371,4,809512
565,пустеля,КИ,пустеля,5371,4,809513
566,палюча,АЖ,палючий,5371,4,809514
567,.,,,5371,4,809515
568,В,ПП,в,5371,5,809516
569,тобi,МП,ти,5371,5,809517
570,заблукати,ГФ,заблукати,5371,5,809518
571,",",,,5371,5,809519
572,а,СС,а,5371,5,809520
573,потiм,Н0,потім,5371,5,809521
574,не,Ь0,не,5371,5,809522
575,вийти,ГФ,вийти,5371,5,809523
576,.,,,5371,5,809524
577,Ти,МИ,ти,5371,6,809525
578,-,,-,5371,6,809526
579,пристрастi,КР,пристрасть,5371,6,809527
580,дикої,АЗ,дикий,5371,6,809528
581,горда,АЖ,гордий,5371,6,809529
582,круча,КИ,круча,5371,6,809530
583,",",,,5371,6,809531
584,з,ПР,з,5371,6,809532
585,якої,ОЗ,який,5371,6,809533
586,кидатись,ГП,кидатися,5371,6,809534
587,несамовитим,АТ,несамовитий,5371,6,809535
588,.,,,5371,6,809536
589,Руки,КА,рука,5371,7,809537
590,обплетенi,АА,обплетений,5371,7,809538
591,",",,,5371,7,809539
592,вуста,ИА,вуста,5371,7,809540
593,обпаленi,АА,обпалений,5371,7,809541
594,глибинними,АЮ,глибинний,5371,7,809542
595,незагнузданими,АЮ,незагнузданий,5371,7,809543
596,пожежами,КЮ,пожежа,5371,7,809544
597,",",,,5371,7,809545
598,і,СС,і,5371,7,809546
599,зеленокоса,АЖ,зеленокосий,5371,7,809547
600,нiжнiсть,КИ,ніжність,5371,7,809548
601,пальми,Кр,пальма,5371,7,809549
602,тебе,МВ,ти,5371,7,809550
603,не,Ь0,не,5371,7,809551
604,схолодить,ГЯ,схолодити,5371,7,809552
605,своїми,ОЮ,свій,5371,7,809553
606,одежами,КЮ,одежа,5371,7,809554
607,.,,,5371,7,809555
608,Зорi,КА,зоря,5371,8,809556
609,б,Ь0,б,5371,8,809557
610,тобi,МД,ти,5371,8,809558
611,пiдiйшли,ГН,підійти,5371,8,809559
612,за,ПВ,за,5371,8,809560
613,намисто,ЛВ,намисто,5371,8,809561
614,",",,,5371,8,809562
615,та,СС,та,5371,8,809563
616,од,ПР,од,5371,8,809564
617,захоплення,ЛИ,захоплення,5371,8,809565
618,повмирають,ГЮ,повмирати,5371,8,809566
619,.,,,5371,8,809567
620,.,,,5371,8,809568
621,.,,,5371,8,809569
622,I,СС,і,5371,9,809570
623,як,Ь0,як,5371,9,809571
624,ти,МИ,ти,5371,9,809572
625,землi,КР,земля,5371,9,809573
626,не,Ь0,не,5371,9,809574
627,пiдпалиш,ГW,підпалити,5371,9,809575
628,",",,,5371,9,809576
629,вогниста,АЖ,вогнистий,5371,9,809577
630,",",,,5371,9,809578
631,мiй,ОИ,мій,5371,9,809579
632,буйний,АИ,буйний,5371,9,809580
633,",",,,5371,9,809581
634,мiй,ОИ,мій,5371,9,809582
635,карий,АИ,карий,5371,9,809583
636,",",,,5371,9,809584
637,мiй,ОИ,мій,5371,9,809585
638,чорний,АИ,чорний,5371,9,809586
639,раю,ЙК,рай,5371,9,809587
640,!,,,5371,9,809588
641,Сльоза,КИ,сльоза,5372,1,809589
642,Пікассо,йЩ,Пікассо,5372,1,809590
643,.,,,5372,1,809591
644,Лiто,ЛИ,літо,5372,2,809592
645,пилося,ГЛ,питися,5372,2,809593
646,",",,,5372,2,809594
647,лiто,ЛИ,літо,5372,2,809595
648,їлося,ГЛ,їстися,5372,2,809596
649,",",,,5372,2,809597
650,лiто,ЛИ,літо,5372,2,809598
651,кипiло,ГР,кипіти,5372,2,809599
652,вишнево,Н0,вишнево,5372,2,809600
653,",",,,5372,2,809601
654,лутово,Н0,лутово,5372,2,809602
655,",",,,5372,2,809603
656,густо,Н0,густо,5372,2,809604
657,смiялося,ГЛ,сміятися,5372,2,809605
658,",",,,5372,2,809606
659,половiло,ГР,половіти,5372,2,809607
660,",",,,5372,2,809608
661,переморгувалось,ГЛ,переморгуватися,5372,2,809609
662,зеленоброво,Н0,зеленоброво,5372,2,809610
663,.,,,5372,2,809611
664,А,СС,а,5372,3,809612
665,ми,МА,ми,5372,3,809613
666,-,,-,5372,3,809614
667,за,ПВ,за,5372,3,809615
668,руки,КУ,рука,5372,3,809616
669,",",,,5372,3,809617
670,аж,Ь0,аж,5372,3,809618
671,пальцiв,ЙЕ,палець,5372,3,809619
672,хрускiт,ЙИ,хрускіт,5372,3,809620
673,",",,,5372,3,809621
674,аж,Ь0,аж,5372,3,809622
675,регiт,ЙИ,регіт,5372,3,809623
676,звивався,ГЭ,звиватися,5372,3,809624
677,пiд,ПВ,під,5372,3,809625
678,пахви,КУ,пахва,5372,3,809626
679,осик,КЕ,осика,5372,3,809627
680,.,,,5372,3,809628
681,За,ПТ,За,5372,4,809629
682,хвилями,КЮ,хвиля,5372,4,809630
